date_time_utc,time_stamp,group_id,member_id,id,humidity,temperature,pm1.0_atm,pm2.5_alt,pm10.0_atm
2024-03-15 06:00:00,1710482464,1872,173210,173210,33.5,91.5,0.0,0.8,1.505
2024-03-15 06:02:00,1710482584,1872,173210,173210,33.0,91.5,0.0,0.8,1.02
2024-03-15 06:04:00,1710482704,1872,173210,173210,32.5,92.5,0.045,1.0,1.1
2024-03-15 06:06:00,1710482824,1872,173210,173210,32.5,92.5,0.0,0.7,1.47
2024-03-15 06:08:00,1710482944,1872,173210,173210,32.5,92.5,0.16,1.1,2.125
2024-03-15 06:10:00,1710483065,1872,173210,173210,32.0,92.5,0.145,1.1,1.78
2024-03-15 06:12:00,1710483184,1872,173210,173210,31.5,92.5,0.65,1.4,2.59
2024-03-15 06:14:00,1710483304,1872,173210,173210,31.5,92.5,0.705,1.7,2.54
2024-03-15 06:16:00,1710483424,1872,173210,173210,31.5,93.5,0.785,1.6,2.685
2024-03-15 06:18:00,1710483544,1872,173210,173210,31.5,93.5,0.93,1.8,3.22
2024-03-15 06:20:00,1710483664,1872,173210,173210,31.5,93.5,1.585,2.0,3.795
2024-03-15 06:22:00,1710483784,1872,173210,173210,31.5,93.5,1.835,2.2,4.37
2024-03-15 06:24:00,1710483904,1872,173210,173210,31.0,93.5,1.52,2.0,3.36
2024-03-15 06:26:00,1710484024,1872,173210,173210,31.0,93.5,1.325,2.0,3.57
2024-03-15 06:28:00,1710484144,1872,173210,173210,31.0,93.5,1.615,2.0,3.89
2024-03-15 06:30:00,1710484264,1872,173210,173210,31.0,93.5,1.375,1.8,3.765
2024-03-15 06:32:00,1710484384,1872,173210,173210,31.0,93.5,1.32,2.2,3.465
2024-03-15 06:34:00,1710484504,1872,173210,173210,30.5,93.5,1.25,2.0,2.935
2024-03-15 06:36:00,1710484624,1872,173210,173210,30.5,93.5,1.61,2.0,3.425
2024-03-15 06:38:00,1710484745,1872,173210,173210,31.0,93.5,1.735,2.5,4.605
2024-03-15 06:40:00,1710484865,1872,173210,173210,31.0,93.5,1.77,2.7,4.42
2024-03-15 06:42:00,1710484985,1872,173210,173210,31.0,93.5,1.62,2.3,3.81
2024-03-15 06:44:00,1710485105,1872,173210,173210,30.5,93.5,1.75,2.4,4.13
2024-03-15 06:46:00,1710485225,1872,173210,173210,31.0,93.5,1.585,2.4,4.085
