date_time_utc,time_stamp,group_id,member_id,humidity,temperature,pm1.0_atm,pm2.5_alt,pm10.0_atm
2024-04-07 10:00:00+00:00,1712484010,1872,173210,42.0,88.5,5.765,4.2,8.29
2024-04-07 10:02:00+00:00,1712484130,1872,173210,42.0,88.5,5.85,4.4,8.635
2024-04-07 10:04:00+00:00,1712484250,1872,173210,42.5,88.5,5.85,4.6,8.13
2024-04-07 10:06:00+00:00,1712484370,1872,173210,42.5,88.5,5.85,4.6,8.31
2024-04-07 10:08:00+00:00,1712484490,1872,173210,42.5,88.5,5.795,4.7,9.135
2024-04-07 10:10:00+00:00,1712484610,1872,173210,42.5,88.5,5.545,4.4,7.94
2024-04-07 10:12:00+00:00,1712484730,1872,173210,42.5,88.5,5.99,4.2,7.995
2024-04-07 10:14:00+00:00,1712484850,1872,173210,42.5,88.5,6.12,4.4,8.09
2024-04-07 10:16:00+00:00,1712484970,1872,173210,42.0,88.5,5.795,4.4,7.68
2024-04-07 10:18:00+00:00,1712485090,1872,173210,42.5,88.5,5.73,4.3,7.475
2024-04-07 10:20:00+00:00,1712485210,1872,173210,42.5,88.5,5.64,4.4,7.85
2024-04-07 10:22:00+00:00,1712485330,1872,173210,42.5,88.5,5.89,4.1,7.485
2024-04-07 10:24:00+00:00,1712485450,1872,173210,42.5,88.5,5.31,4.1,7.25
2024-04-07 10:26:00+00:00,1712485570,1872,173210,42.5,88.5,5.755,4.2,7.94
2024-04-07 10:28:00+00:00,1712485690,1872,173210,42.5,88.5,5.835,4.2,8.02
2024-04-07 10:30:00+00:00,1712485810,1872,173210,42.0,88.5,6.155,4.3,8.285
2024-04-07 10:32:00+00:00,1712485930,1872,173210,42.0,89.5,5.32,4.2,7.64
2024-04-07 10:34:00+00:00,1712486051,1872,173210,41.5,89.5,5.63,4.2,7.69
2024-04-07 10:36:00+00:00,1712486170,1872,173210,41.0,90.5,5.29,4.0,7.615
2024-04-07 10:38:00+00:00,1712486290,1872,173210,41.0,90.5,4.915,4.0,7.18
2024-04-07 10:40:00+00:00,1712488211,1872,173210,0.0,0.0,0.0,0.0,0.0
2024-04-07 10:42:00+00:00,1712488211,1872,173210,0.0,0.0,0.0,0.0,0.0
2024-04-07 10:44:00+00:00,1712488211,1872,173210,0.0,0.0,0.0,0.0,0.0
2024-04-07 10:46:00+00:00,1712488211,1872,173210,0.0,0.0,0.0,0.0,0.0
2024-04-07 10:48:00+00:00,1712488211,1872,173210,0.0,0.0,0.0,0.0,0.0
2024-04-07 10:50:00+00:00,1712488211,1872,173210,0.0,0.0,0.0,0.0,0.0
2024-04-07 10:52:00+00:00,1712488211,1872,173210,0.0,0.0,0.0,0.0,0.0
2024-04-07 10:54:00+00:00,1712488211,1872,173210,0.0,0.0,0.0,0.0,0.0
2024-04-07 10:56:00+00:00,1712488211,1872,173210,0.0,0.0,0.0,0.0,0.0
2024-04-07 10:58:00+00:00,1712488211,1872,173210,0.0,0.0,0.0,0.0,0.0
2024-04-07 11:00:00+00:00,1712488211,1872,173210,0.0,0.0,0.0,0.0,0.0
2024-04-07 11:02:00+00:00,1712488211,1872,173210,0.0,0.0,0.0,0.0,0.0
2024-04-07 11:04:00+00:00,1712488211,1872,173210,0.0,0.0,0.0,0.0,0.0
2024-04-07 11:06:00+00:00,1712488211,1872,173210,0.0,0.0,0.0,0.0,0.0
2024-04-07 11:08:00+00:00,1712488211,1872,173210,0.0,0.0,0.0,0.0,0.0
2024-04-07 11:10:00+00:00,1712488211,1872,173210,38.0,93.5,4.83,3.8,7.05
2024-04-07 11:12:00+00:00,1712488331,1872,173210,38.0,93.5,5.15,3.7,6.74
2024-04-07 11:14:00+00:00,1712488451,1872,173210,38.0,93.5,5.015,3.7,6.65
2024-04-07 11:16:00+00:00,1712488571,1872,173210,38.5,93.5,4.94,3.7,6.8
2024-04-07 11:18:00+00:00,1712488691,1872,173210,38.5,93.5,4.595,3.7,6.19
2024-04-07 11:20:00+00:00,1712488811,1872,173210,38.5,93.5,4.745,4.0,7.01
2024-04-07 11:22:00+00:00,1712488931,1872,173210,38.5,93.5,4.44,3.4,5.99
2024-04-07 11:24:00+00:00,1712489051,1872,173210,38.0,93.5,4.63,3.5,6.455
2024-04-07 11:26:00+00:00,1712489171,1872,173210,38.0,94.5,4.49,3.5,5.645
2024-04-07 11:28:00+00:00,1712489291,1872,173210,37.5,94.5,4.27,3.6,5.91
2024-04-07 11:30:00+00:00,1712489411,1872,173210,37.5,94.5,4.3,3.4,5.61
2024-04-07 11:32:00+00:00,1712489531,1872,173210,37.5,94.5,4.23,3.5,6.085
2024-04-07 11:34:00+00:00,1712489651,1872,173210,37.0,94.5,4.04,3.4,5.995
2024-04-07 11:36:00+00:00,1712489771,1872,173210,37.0,94.5,4.225,3.3,5.36
2024-04-07 11:38:00+00:00,1712489891,1872,173210,36.5,94.5,4.23,3.3,5.52
