UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2023/12/13T16:56:09z,48:3f:da:26:70:1d,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,91,60,75,1011.67,nan,26304,0,105,32.89,47.98,52.51,26.82,40.16,49.44,133,114,5737.13,1650.91,277.8,30.73,6.62,1.91,31.95,44.23,54.14,26.77,38.67,51,124,110,5424.7,1557.81,277.86,34.05,8.37,1.35,nan
2023/12/13T16:58:27z,48:3f:da:26:70:1d,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,92,56,74,1011.67,0.03,24528,-50,240,31.28,45.27,50.91,26.06,38.64,48.15,126,110,5563.79,1586.73,257.67,36.72,5.52,2.84,29.97,40.86,46.8,25.24,36.02,45,115,103,5233.22,1500.68,249.51,25.36,7.49,1.59,157.4
2023/12/13T17:00:27z,48:3f:da:26:70:1d,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,92,54,73,1011.59,0.03,11464,-49,360,29.2,42,46.94,25,36.72,45.83,118,105,5316.22,1507.63,240.57,30,5.78,2.69,27.67,36.26,40.28,24,33.14,39.88,104,96,4753.16,1361.65,201.32,20.19,5.33,1.54,113.82
2023/12/13T17:02:27z,48:3f:da:26:70:1d,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,93,53,73,1011.61,0.03,11464,-51,480,28.51,39.49,44.33,24.54,35.3,43.7,112,102,5065.32,1447.98,220.12,24.54,5.82,1.7,28.3,39.46,43.89,24.37,35.19,43.25,112,101,4931,1420.18,238.6,24.37,6.37,1.89,94.78
2023/12/13T17:04:27z,48:3f:da:26:70:1d,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,93,52,72,1011.61,0.03,11464,-52,600,28.64,39.86,44.51,24.64,35.46,44,113,102,5089.58,1454.46,216.29,25.12,6.64,1.98,26.59,38.14,44.14,23.32,34.46,43.46,109,99,4707.59,1346.07,236.39,27.3,8.23,2.45,86.08
2023/12/13T17:06:27z,48:3f:da:26:70:1d,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,94,51,73,1011.6,0.03,11464,-54,720,27.44,37.17,39.9,23.93,33.86,39.9,106,98,4863.86,1383.05,207.36,17.07,3.22,1.36,25.91,34.33,38.19,22.91,32.19,38.19,99,94,4578.63,1299.58,212.46,16.39,5.33,1.09,83.1
2023/12/13T17:08:27z,48:3f:da:26:70:1d,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,94,51,73,1011.59,0.03,11144,-52,840,27.42,37.93,41.45,23.73,34.45,41.31,108,99,4902.65,1396.02,188.15,25.49,4.36,2.16,26.58,36.63,40.88,23.39,33.53,40.78,105,97,4653.86,1339.76,219.29,20.24,5.34,0.95,90.53
2023/12/13T17:10:27z,48:3f:da:26:70:1d,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,94,50,72,1011.55,0.03,11464,-55,960,27.54,37.19,40.59,23.86,34.05,40.59,106,98,4815.41,1374.54,198.68,18.49,4.36,1.78,25.96,36.25,40.49,23,33.39,40.42,104,97,4566.58,1312.77,209.23,22.84,5.91,1.77,92.6
2023/12/13T17:12:27z,48:3f:da:26:70:1d,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,95,50,73,1011.43,0.03,11464,-52,1080,26.95,37.17,40.71,23.75,34.07,40.71,106,98,4688.95,1342.41,198.27,21.75,5.42,1.54,26.07,34.95,39.91,22.93,32.5,39.91,100,95,4474.71,1285.61,202.79,20.16,7.39,1.5,79.21
2023/12/13T17:14:27z,48:3f:da:26:70:1d,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,95,50,73,1011.34,0.03,11464,-53,1200,26.64,36.52,40.1,23.59,33.69,40.09,105,97,4719.98,1329.93,190.31,23.78,4.48,1.74,26.33,35.3,39.25,23.35,32.89,39.25,102,96,4514.68,1302.88,203.86,18.09,5.72,0.98,83.65
