time_stamp,group_id,member_id,humidity,temperature,pm2.5_alt,0.3_um_count,0.5_um_count,1.0_um_count,2.5_um_count,5.0_um_count,10.0_um_count,pm1.0_atm,pm10.0_atm,id,date_time_utc
1709623045,1872,173212,41.5,88.5,1.7,383.07,110.78,21.43,6.125,1.905,0.275,1.015,3.875,173212,2024-03-05 07:17:25
1709623165,1872,173212,39.5,89.5,1.5,379.645,105.885,18.535,5.52,1.165,0.525,0.49,2.8200000000000003,173212,2024-03-05 07:19:25
1709623285,1872,173212,38.5,90.5,1.4,341.145,95.0,15.555,3.015,1.71,0.215,0.365,2.185,173212,2024-03-05 07:21:25
1709623405,1872,173212,37.5,91.0,1.4,350.425,100.75,16.715,4.555,1.965,0.445,0.485,2.715,173212,2024-03-05 07:23:25
1709623525,1872,173212,36.5,91.5,1.6,352.84000000000003,103.65,19.565,4.41,2.165,0.615,0.405,2.805,173212,2024-03-05 07:25:25
1709623645,1872,173212,36.0,91.5,1.5,347.105,98.93,16.62,2.81,0.89,0.135,0.775,2.24,173212,2024-03-05 07:27:25
1709623765,1872,173212,35.5,92.5,1.3,343.29,96.82,13.705000000000002,3.04,1.48,0.235,0.615,2.24,173212,2024-03-05 07:29:25
1709623885,1872,173212,35.5,92.5,1.5,338.995,95.83,18.08,4.27,1.48,0.4599999999999999,0.595,2.965,173212,2024-03-05 07:31:25
1709624005,1872,173212,35.0,93.0,1.5,354.29999999999995,100.74,18.255000000000003,4.885,2.525,0.445,0.48,3.155,173212,2024-03-05 07:33:25
1709624125,1872,173212,34.5,93.5,1.6,338.96500000000003,94.295,17.685000000000002,2.45,1.35,0.395,0.805,2.44,173212,2024-03-05 07:35:25
1709624245,1872,173212,34.0,93.5,1.3,305.46000000000004,88.33500000000001,13.205,2.9450000000000003,0.975,0.405,0.62,2.035,173212,2024-03-05 07:37:25
1709624365,1872,173212,34.0,93.5,1.5,319.805,90.72,17.630000000000003,4.025,1.875,0.36,0.53,2.385,173212,2024-03-05 07:39:25
1709624485,1872,173212,34.0,93.5,1.6,342.09,98.895,16.924999999999997,2.4850000000000003,1.0,0.4,0.645,2.465,173212,2024-03-05 07:41:25
1709624605,1872,173212,33.5,94.0,1.6,338.19,94.8,19.005000000000003,4.305,1.955,0.415,0.77,3.135,173212,2024-03-05 07:43:25
1709624727,1872,173212,34.0,94.0,1.4,343.7,94.515,14.17,2.3,0.82,0.235,0.55,1.97,173212,2024-03-05 07:45:27
1709624845,1872,173212,33.5,94.0,1.4,326.02,90.99,14.53,2.965,0.935,0.275,0.64,2.175,173212,2024-03-05 07:47:25
1709624965,1872,173212,33.0,94.0,1.4,319.8,89.935,14.08,2.195,1.3250000000000002,0.165,0.735,2.245,173212,2024-03-05 07:49:25
1709625085,1872,173212,33.0,94.0,1.4,324.095,92.665,15.59,3.62,1.43,0.505,0.865,2.84,173212,2024-03-05 07:51:25
1709625205,1872,173212,33.0,94.0,1.5,344.46000000000004,96.065,15.84,2.715,1.355,0.31,0.63,2.405,173212,2024-03-05 07:53:25
1709625325,1872,173212,33.0,94.5,1.6,335.57500000000005,96.07,18.095,2.465,1.165,0.24,0.665,2.3200000000000003,173212,2024-03-05 07:55:25
1709625445,1872,173212,33.0,94.0,1.4,348.88,97.44,15.095,2.81,0.6950000000000001,0.21,0.895,2.51,173212,2024-03-05 07:57:25
1709625565,1872,173212,33.0,94.5,1.5,330.905,95.965,16.725,3.365,1.19,0.35,0.8300000000000001,2.645,173212,2024-03-05 07:59:25
1709625685,1872,173212,33.0,94.0,1.5,351.245,99.035,16.13,3.48,1.265,0.6,0.525,2.4400000000000004,173212,2024-03-05 08:01:25
1709625805,1872,173212,33.0,94.5,1.3,333.03,92.705,13.165,2.13,0.885,0.175,0.905,2.1100000000000003,173212,2024-03-05 08:03:25
1709625925,1872,173212,33.0,94.0,1.6,361.57,103.465,16.985,2.76,1.51,0.535,1.04,2.885,173212,2024-03-05 08:05:25
1709626045,1872,173212,33.0,94.0,1.3,354.79,97.525,11.55,2.23,0.96,0.185,0.89,2.065,173212,2024-03-05 08:07:25
1709626165,1872,173212,33.0,94.0,1.4,311.015,90.49,14.355,2.625,1.265,0.36,0.51,2.025,173212,2024-03-05 08:09:25
1709626285,1872,173212,33.0,94.0,1.4,332.96500000000003,93.68,13.995,2.265,0.8200000000000001,0.295,1.055,2.23,173212,2024-03-05 08:11:25
1709626405,1872,173212,32.5,94.0,1.4,314.57000000000005,91.185,14.335,2.0700000000000003,1.17,0.355,0.995,2.365,173212,2024-03-05 08:13:25
1709626525,1872,173212,32.5,94.5,1.4,321.595,90.405,15.645,3.155,1.525,0.605,0.88,2.655,173212,2024-03-05 08:15:25
1709626645,1872,173212,32.5,94.0,1.3,319.98,91.85,16.14,4.945,2.685,0.505,0.565,3.105,173212,2024-03-05 08:17:25
1709626765,1872,173212,33.0,94.5,1.3,316.95500000000004,91.065,12.055,2.09,0.87,0.115,0.84,1.985,173212,2024-03-05 08:19:25
