time_stamp,group_id,member_id,humidity,temperature,pm2.5_alt,0.3_um_count,0.5_um_count,1.0_um_count,2.5_um_count,5.0_um_count,10.0_um_count,pm1.0_atm,pm10.0_atm,id,date_time_utc
1709622945,1872,173213,40.0,89.0,2.8,504.785,154.16500000000002,40.035,9.805,2.035,0.725,2.59,7.965,173213,2024-03-05 07:15:45
1709623066,1872,173213,38.0,90.0,1.5,342.065,94.695,16.08,2.7750000000000004,0.535,0.185,1.045,2.525,173213,2024-03-05 07:17:46
1709623185,1872,173213,36.5,91.0,1.2,302.76,85.88,12.865,2.7350000000000003,1.11,0.19,0.905,2.24,173213,2024-03-05 07:19:45
1709623305,1872,173213,36.0,91.5,1.3,300.525,88.22,13.75,3.225,1.235,0.485,0.835,2.56,173213,2024-03-05 07:21:45
1709623425,1872,173213,35.5,92.0,1.4,309.19,88.31,14.27,2.14,0.8300000000000001,0.33,0.565,1.805,173213,2024-03-05 07:23:45
1709623545,1872,173213,35.0,92.5,1.4,315.96500000000003,93.105,14.995,2.13,0.665,0.18,0.39,1.645,173213,2024-03-05 07:25:45
1709623665,1872,173213,34.5,93.0,1.5,334.73,97.235,17.555,3.27,1.62,0.635,0.765,2.8150000000000004,173213,2024-03-05 07:27:45
1709623785,1872,173213,34.0,93.0,1.4,314.105,88.67,15.94,2.81,1.7199999999999998,0.72,0.775,2.665,173213,2024-03-05 07:29:45
1709623905,1872,173213,34.0,93.5,1.4,317.535,93.415,14.98,3.36,1.095,0.69,0.7849999999999999,2.465,173213,2024-03-05 07:31:45
1709624025,1872,173213,33.5,94.0,1.2,314.565,89.175,11.955,2.305,1.165,0.79,0.73,2.26,173213,2024-03-05 07:33:45
1709624145,1872,173213,33.0,94.0,1.3,298.76,86.13,14.725,3.57,1.2000000000000002,0.605,0.78,2.51,173213,2024-03-05 07:35:45
1709624265,1872,173213,33.0,94.0,1.4,318.85,90.55,16.54,3.465,1.1,0.445,0.79,2.475,173213,2024-03-05 07:37:45
1709624385,1872,173213,32.5,94.5,1.4,322.255,93.98,14.665,2.22,1.04,0.63,0.77,2.305,173213,2024-03-05 07:39:45
1709624505,1872,173213,32.5,94.5,1.1,284.88,79.535,11.2,2.7,1.375,0.965,0.725,2.195,173213,2024-03-05 07:41:45
1709624625,1872,173213,32.5,94.5,1.3,312.65000000000003,88.47,13.335,2.04,0.89,0.105,0.895,2.085,173213,2024-03-05 07:43:45
1709624745,1872,173213,32.5,94.5,1.4,321.945,95.32,16.54,4.800000000000001,1.735,0.515,0.965,3.295,173213,2024-03-05 07:45:45
1709624865,1872,173213,32.5,94.5,1.1,301.19,84.22,9.075,1.73,0.8400000000000001,0.04,0.6799999999999999,1.665,173213,2024-03-05 07:47:45
1709624985,1872,173213,32.0,94.5,1.2,304.52,84.925,11.925,2.315,0.645,0.45,0.75,1.96,173213,2024-03-05 07:49:45
1709625105,1872,173213,32.0,94.5,1.2,313.3,90.025,11.26,1.995,0.91,0.4599999999999999,0.965,2.21,173213,2024-03-05 07:51:45
1709625225,1872,173213,32.0,94.5,1.2,285.555,79.87,12.4,1.885,0.84,0.455,0.715,1.915,173213,2024-03-05 07:53:45
1709625345,1872,173213,32.0,94.5,1.1,272.20500000000004,79.985,11.025,2.035,1.045,0.525,0.6599999999999999,1.8,173213,2024-03-05 07:55:45
1709625465,1872,173213,32.0,94.5,1.2,288.105,82.89500000000001,11.025,1.385,0.825,0.355,0.95,1.915,173213,2024-03-05 07:57:45
1709625585,1872,173213,32.0,94.5,1.3,278.775,83.495,13.52,2.27,0.945,0.315,0.755,2.135,173213,2024-03-05 07:59:45
1709625705,1872,173213,32.0,94.5,1.3,294.695,85.055,14.420000000000002,2.585,0.71,0.325,0.615,1.9,173213,2024-03-05 08:01:45
1709625825,1872,173213,32.0,94.5,1.4,316.52,87.96000000000001,15.73,2.28,0.89,0.5,0.77,2.255,173213,2024-03-05 08:03:45
1709625945,1872,173213,32.0,94.5,3.6,442.905,135.60500000000002,47.58,1.3250000000000002,0.6,0.6,1.725,4.365,173213,2024-03-05 08:05:45
1709626065,1872,173213,31.5,94.5,2.7,351.345,104.985,35.955,1.915,0.675,0.225,0.99,3.22,173213,2024-03-05 08:07:45
1709626185,1872,173213,31.5,95.0,3.4,413.635,125.725,46.19,2.145,1.12,0.13,1.56,4.165,173213,2024-03-05 08:09:45
1709626306,1872,173213,31.5,94.5,3.7,449.26,135.61,51.895,5.065,2.185,0.725,1.745,5.734999999999999,173213,2024-03-05 08:11:46
1709626425,1872,173213,32.0,94.5,3.2,395.41,119.895,42.78,2.15,0.845,0.21,1.5699999999999998,3.88,173213,2024-03-05 08:13:45
1709626546,1872,173213,31.5,94.5,2.7,379.695,114.29,34.99,2.165,0.79,0.235,1.6749999999999998,3.455,173213,2024-03-05 08:15:46
1709626666,1872,173213,32.0,94.5,2.7,374.675,110.515,34.06,2.045,0.635,0.32,1.875,3.285,173213,2024-03-05 08:17:46
1709626786,1872,173213,32.0,94.5,2.8,361.72,111.42,35.895,2.0250000000000004,0.655,0.09,1.89,3.34,173213,2024-03-05 08:19:46
1709626906,1872,173213,32.0,94.5,3.1,378.685,115.875,42.66,2.51,1.0699999999999998,0.2249999999999999,1.9,3.845,173213,2024-03-05 08:21:46
1709627026,1872,173213,32.0,94.5,2.8,358.655,109.585,37.635,1.88,0.55,0.345,2.0,3.38,173213,2024-03-05 08:23:46
1709627146,1872,173213,32.5,94.5,3.4,387.55,117.81,46.08,1.92,0.935,0.23,2.16,3.86,173213,2024-03-05 08:25:46
1709627266,1872,173213,32.5,94.5,3.1,395.02,120.225,42.18000000000001,2.47,1.19,0.7,1.93,3.985,173213,2024-03-05 08:27:46
1709627386,1872,173213,32.5,94.5,3.2,413.22,124.825,43.245000000000005,3.15,1.275,0.3999999999999999,2.09,4.2,173213,2024-03-05 08:29:46
1709627506,1872,173213,32.5,94.0,3.4,414.15,126.225,45.260000000000005,1.925,0.6,0.13,2.2,3.84,173213,2024-03-05 08:31:46
1709627626,1872,173213,32.5,94.5,2.8,910.715,204.69,52.615,31.94,0.895,0.18,2.295,12.325,173213,2024-03-05 08:33:46
1709627746,1872,173213,32.5,94.0,3.2,1343.33,267.725,48.615,31.725,1.035,0.36,3.675,13.42,173213,2024-03-05 08:35:46
1709627866,1872,173213,32.5,94.0,2.9,1020.85,217.85,42.005,22.770000000000003,0.69,0.175,2.83,10.145,173213,2024-03-05 08:37:46
1709627987,1872,173213,32.5,93.5,2.7,912.73,217.56,49.16,31.14,0.905,0.315,2.8600000000000003,12.36,173213,2024-03-05 08:39:47
1709628106,1872,173213,32.5,94.0,4.4,1761.305,362.35,52.56999999999999,30.49,1.025,0.405,5.295,14.985,173213,2024-03-05 08:41:46
1709628226,1872,173213,33.0,94.0,5.3,2329.785,447.045,48.94,27.145,0.895,0.275,6.675,16.064999999999998,173213,2024-03-05 08:43:46
1709628346,1872,173213,32.5,94.0,2.9,1224.36,243.225,33.295,20.56,0.75,0.235,3.14,9.905,173213,2024-03-05 08:45:46
1709628466,1872,173213,32.5,93.5,3.5,1410.16,307.95,45.085,28.11,0.91,0.37,4.515000000000001,13.515,173213,2024-03-05 08:47:46
1709628586,1872,173213,32.5,94.0,5.7,2332.82,478.785,60.045,32.16,1.06,0.305,7.6,18.380000000000003,173213,2024-03-05 08:49:46
1709628706,1872,173213,32.5,93.5,4.1,1606.505,338.905,60.245000000000005,37.615,1.13,0.515,4.9,16.825000000000003,173213,2024-03-05 08:51:46
1709628826,1872,173213,33.0,93.5,4.1,1714.58,364.985,57.185,38.05,1.27,0.47,5.285,17.15,173213,2024-03-05 08:53:46
1709628946,1872,173213,33.0,93.5,4.3,1738.77,370.145,52.795,31.78,1.69,0.745,5.44,16.03,173213,2024-03-05 08:55:46
1709629066,1872,173213,33.0,93.5,3.7,1518.225,307.18,53.115,34.34,0.985,0.59,4.235,14.755,173213,2024-03-05 08:57:46
1709629186,1872,173213,33.0,93.5,3.4,1339.72,282.495,35.515,18.36,0.845,0.37,3.96,10.66,173213,2024-03-05 08:59:46
1709629306,1872,173213,33.0,93.5,4.4,1817.255,354.645,50.575,28.21,0.7949999999999999,0.265,5.2,14.305,173213,2024-03-05 09:01:46
