time_stamp,group_id,member_id,pm1.0_atm,id,date_time_utc
1709623045,1872,173212,1.015,173212,2024-03-05 07:17:25
1709623165,1872,173212,0.49,173212,2024-03-05 07:19:25
1709623285,1872,173212,0.365,173212,2024-03-05 07:21:25
1709623405,1872,173212,0.485,173212,2024-03-05 07:23:25
1709623525,1872,173212,0.405,173212,2024-03-05 07:25:25
1709623645,1872,173212,0.775,173212,2024-03-05 07:27:25
1709623765,1872,173212,0.615,173212,2024-03-05 07:29:25
1709623885,1872,173212,0.595,173212,2024-03-05 07:31:25
1709624005,1872,173212,0.48,173212,2024-03-05 07:33:25
1709624125,1872,173212,0.805,173212,2024-03-05 07:35:25
1709624245,1872,173212,0.62,173212,2024-03-05 07:37:25
1709624365,1872,173212,0.53,173212,2024-03-05 07:39:25
1709624485,1872,173212,0.645,173212,2024-03-05 07:41:25
1709624605,1872,173212,0.77,173212,2024-03-05 07:43:25
1709624727,1872,173212,0.55,173212,2024-03-05 07:45:27
1709624845,1872,173212,0.64,173212,2024-03-05 07:47:25
1709624965,1872,173212,0.735,173212,2024-03-05 07:49:25
1709625085,1872,173212,0.865,173212,2024-03-05 07:51:25
1709625205,1872,173212,0.63,173212,2024-03-05 07:53:25
1709625325,1872,173212,0.665,173212,2024-03-05 07:55:25
1709625445,1872,173212,0.895,173212,2024-03-05 07:57:25
1709625565,1872,173212,0.8300000000000001,173212,2024-03-05 07:59:25
1709625685,1872,173212,0.525,173212,2024-03-05 08:01:25
1709625805,1872,173212,0.905,173212,2024-03-05 08:03:25
1709625925,1872,173212,1.04,173212,2024-03-05 08:05:25
1709626045,1872,173212,0.89,173212,2024-03-05 08:07:25
1709626165,1872,173212,0.51,173212,2024-03-05 08:09:25
1709626285,1872,173212,1.055,173212,2024-03-05 08:11:25
1709626405,1872,173212,0.995,173212,2024-03-05 08:13:25
1709626525,1872,173212,0.88,173212,2024-03-05 08:15:25
1709626645,1872,173212,0.565,173212,2024-03-05 08:17:25
1709626765,1872,173212,0.84,173212,2024-03-05 08:19:25
1709626885,1872,173212,0.8200000000000001,173212,2024-03-05 08:21:25
1709627005,1872,173212,0.5900000000000001,173212,2024-03-05 08:23:25
1709627125,1872,173212,0.73,173212,2024-03-05 08:25:25
1709627246,1872,173212,0.8300000000000001,173212,2024-03-05 08:27:26
1709627365,1872,173212,0.81,173212,2024-03-05 08:29:25
1709627485,1872,173212,0.74,173212,2024-03-05 08:31:25
1709627605,1872,173212,1.01,173212,2024-03-05 08:33:25
1709627725,1872,173212,1.15,173212,2024-03-05 08:35:25
1709627845,1872,173212,0.79,173212,2024-03-05 08:37:25
1709627965,1872,173212,0.92,173212,2024-03-05 08:39:25
1709628086,1872,173212,1.0,173212,2024-03-05 08:41:26
1709628205,1872,173212,1.175,173212,2024-03-05 08:43:25
1709628325,1872,173212,1.085,173212,2024-03-05 08:45:25
1709628446,1872,173212,1.06,173212,2024-03-05 08:47:26
1709628565,1872,173212,1.01,173212,2024-03-05 08:49:25
1709631166,1872,173212,1.5,173212,2024-03-05 09:32:46
1709631286,1872,173212,1.4300000000000002,173212,2024-03-05 09:34:46
1709631407,1872,173212,8.67,173212,2024-03-05 09:36:47
1709631526,1872,173212,66.15,173212,2024-03-05 09:38:46
1709631646,1872,173212,65.735,173212,2024-03-05 09:40:46
1709632110,1872,173212,0.6,173212,2024-03-05 09:48:30
1709632230,1872,173212,0.7050000000000001,173212,2024-03-05 09:50:30
1709632350,1872,173212,0.49,173212,2024-03-05 09:52:30
1709632470,1872,173212,0.8400000000000001,173212,2024-03-05 09:54:30
1709632590,1872,173212,0.59,173212,2024-03-05 09:56:30
1709632710,1872,173212,0.39,173212,2024-03-05 09:58:30
1709632830,1872,173212,0.405,173212,2024-03-05 10:00:30
1709632950,1872,173212,0.33,173212,2024-03-05 10:02:30
1709633070,1872,173212,0.505,173212,2024-03-05 10:04:30
1709633190,1872,173212,0.335,173212,2024-03-05 10:06:30
1709633310,1872,173212,0.62,173212,2024-03-05 10:08:30
1709633430,1872,173212,0.525,173212,2024-03-05 10:10:30
1709633550,1872,173212,0.26,173212,2024-03-05 10:12:30
1709633670,1872,173212,0.435,173212,2024-03-05 10:14:30
1709633790,1872,173212,17.255,173212,2024-03-05 10:16:30
1709633910,1872,173212,6.465,173212,2024-03-05 10:18:30
1709634030,1872,173212,35.545,173212,2024-03-05 10:20:30
1709634150,1872,173212,18.34,173212,2024-03-05 10:22:30
1709634381,1872,173212,0.215,173212,2024-03-05 10:26:21
1709634501,1872,173212,0.425,173212,2024-03-05 10:28:21
1709634621,1872,173212,0.3299999999999999,173212,2024-03-05 10:30:21
1709634741,1872,173212,0.195,173212,2024-03-05 10:32:21
1709634861,1872,173212,0.195,173212,2024-03-05 10:34:21
1709634982,1872,173212,0.385,173212,2024-03-05 10:36:22
1709635101,1872,173212,0.51,173212,2024-03-05 10:38:21
1709635221,1872,173212,0.1699999999999999,173212,2024-03-05 10:40:21
1709635341,1872,173212,0.415,173212,2024-03-05 10:42:21
1709635461,1872,173212,0.425,173212,2024-03-05 10:44:21
1709635581,1872,173212,0.35,173212,2024-03-05 10:46:21
1709635701,1872,173212,0.29,173212,2024-03-05 10:48:21
1709635821,1872,173212,0.42,173212,2024-03-05 10:50:21
1709635941,1872,173212,0.325,173212,2024-03-05 10:52:21
1709636061,1872,173212,0.395,173212,2024-03-05 10:54:21
1709636181,1872,173212,0.3349999999999999,173212,2024-03-05 10:56:21
1709636301,1872,173212,0.275,173212,2024-03-05 10:58:21
