time_stamp,group_id,member_id,humidity,temperature,pm2.5_alt,pm1.0_atm,pm10.0_atm,id,date_time_utc
1710126089,1872,173211,40.5,91.0,5.1,3.895,6.13,173211,2024-03-11 03:01:29
1710126212,1872,173211,39.5,91.0,1.3,0.375,1.605,173211,2024-03-11 03:03:32
1710126329,1872,173211,39.0,91.5,1.5,0.215,1.645,173211,2024-03-11 03:05:29
1710126449,1872,173211,39.0,91.5,1.1,0.085,1.46,173211,2024-03-11 03:07:29
1710126569,1872,173211,38.0,92.0,1.0,0.075,1.945,173211,2024-03-11 03:09:29
1710126690,1872,173211,38.0,92.0,0.8,0.0,0.88,173211,2024-03-11 03:11:30
1710126809,1872,173211,37.5,92.0,0.8,0.01,1.32,173211,2024-03-11 03:13:29
1710126929,1872,173211,37.0,92.5,0.9,0.05,0.925,173211,2024-03-11 03:15:29
1710127050,1872,173211,36.0,92.5,1.2,0.105,1.27,173211,2024-03-11 03:17:30
1710127169,1872,173211,35.5,93.0,2.7,1.175,2.765,173211,2024-03-11 03:19:29
1710127289,1872,173211,35.0,93.0,1.4,0.305,2.18,173211,2024-03-11 03:21:29
1710127409,1872,173211,35.0,93.0,0.8,0.0,1.36,173211,2024-03-11 03:23:29
1710127529,1872,173211,35.0,93.0,0.9,0.04,0.73,173211,2024-03-11 03:25:29
1710127649,1872,173211,35.0,93.0,0.9,0.0,0.9,173211,2024-03-11 03:27:29
1710127769,1872,173211,34.5,93.5,0.8,0.0,1.29,173211,2024-03-11 03:29:29
1710127889,1872,173211,34.5,93.0,0.8,0.0,0.865,173211,2024-03-11 03:31:29
1710128009,1872,173211,34.0,93.5,0.8,0.0,0.385,173211,2024-03-11 03:33:29
1710128129,1872,173211,33.5,93.5,0.9,0.0,0.6950000000000001,173211,2024-03-11 03:35:29
1710128249,1872,173211,33.0,93.5,0.7,0.0,1.135,173211,2024-03-11 03:37:29
1710128369,1872,173211,32.5,93.5,0.8,0.0,0.67,173211,2024-03-11 03:39:29
1710128490,1872,173211,32.5,93.5,0.6,0.0,0.26,173211,2024-03-11 03:41:30
1710128609,1872,173211,32.5,93.5,0.6,0.0,1.12,173211,2024-03-11 03:43:29
1710128729,1872,173211,31.5,93.5,0.7,0.0,1.015,173211,2024-03-11 03:45:29
1710128849,1872,173211,31.5,93.5,0.8,0.0,0.84,173211,2024-03-11 03:47:29
1710128969,1872,173211,31.5,93.5,0.8,0.0,0.975,173211,2024-03-11 03:49:29
1710129090,1872,173211,32.0,93.5,0.7,0.0,0.625,173211,2024-03-11 03:51:30
1710129210,1872,173211,32.5,93.5,0.7,0.065,0.8350000000000001,173211,2024-03-11 03:53:30
1710129330,1872,173211,32.5,93.5,0.6,0.0,0.26,173211,2024-03-11 03:55:30
1710129450,1872,173211,32.5,93.5,0.7,0.0,1.2999999999999998,173211,2024-03-11 03:57:30
1710129570,1872,173211,32.5,93.5,0.7,0.0,0.855,173211,2024-03-11 03:59:30
1710129690,1872,173211,32.5,93.5,0.7,0.0,0.695,173211,2024-03-11 04:01:30
1710129810,1872,173211,32.5,93.5,0.8,0.0,0.55,173211,2024-03-11 04:03:30
1710129931,1872,173211,33.0,93.5,0.6,0.0,0.81,173211,2024-03-11 04:05:31
1710130050,1872,173211,33.0,93.5,0.7,0.0,1.26,173211,2024-03-11 04:07:30
1710130170,1872,173211,33.5,93.5,0.8,0.055,1.745,173211,2024-03-11 04:09:30
1710130290,1872,173211,33.5,93.5,0.7,0.0,1.045,173211,2024-03-11 04:11:30
1710130410,1872,173211,33.5,93.5,0.9,0.0,0.835,173211,2024-03-11 04:13:30
1710130530,1872,173211,33.5,93.5,0.8,0.0,1.28,173211,2024-03-11 04:15:30
1710130650,1872,173211,33.5,93.5,0.8,0.0,1.15,173211,2024-03-11 04:17:30
1710130770,1872,173211,33.5,93.5,0.8,0.0,1.485,173211,2024-03-11 04:19:30
1710130890,1872,173211,34.0,93.5,0.7,0.06,0.6799999999999999,173211,2024-03-11 04:21:30
1710131011,1872,173211,34.0,93.5,0.7,0.0,0.99,173211,2024-03-11 04:23:31
1710131130,1872,173211,34.0,93.5,0.7,0.0,0.725,173211,2024-03-11 04:25:30
1710131250,1872,173211,34.0,93.5,0.8,0.0,1.11,173211,2024-03-11 04:27:30
1710131370,1872,173211,34.0,93.5,0.9,0.0,1.275,173211,2024-03-11 04:29:30
1710131490,1872,173211,34.5,93.5,0.8,0.025,1.4600000000000002,173211,2024-03-11 04:31:30
1710131610,1872,173211,34.0,93.5,0.7,0.0,0.855,173211,2024-03-11 04:33:30
1710131730,1872,173211,34.5,93.5,0.6,0.0,1.525,173211,2024-03-11 04:35:30
1710131850,1872,173211,34.0,93.5,1.0,0.0,1.325,173211,2024-03-11 04:37:30
1710131970,1872,173211,34.0,93.5,0.8,0.0,1.035,173211,2024-03-11 04:39:30
1710132091,1872,173211,34.5,93.5,0.8,0.0,1.1,173211,2024-03-11 04:41:31
1710132210,1872,173211,34.5,93.5,0.7,0.0,0.6,173211,2024-03-11 04:43:30
1710132330,1872,173211,34.0,93.5,0.9,0.0,1.175,173211,2024-03-11 04:45:30
1710132450,1872,173211,34.5,93.5,0.9,0.0,1.71,173211,2024-03-11 04:47:30
1710132570,1872,173211,34.0,93.5,0.9,0.0,1.565,173211,2024-03-11 04:49:30
1710132691,1872,173211,33.5,93.5,0.8,0.0,0.7749999999999999,173211,2024-03-11 04:51:31
1710132811,1872,173211,33.5,93.5,0.8,0.025,0.8,173211,2024-03-11 04:53:31
1710132931,1872,173211,33.5,93.5,0.9,0.0,1.385,173211,2024-03-11 04:55:31
1710133051,1872,173211,33.5,93.5,0.7,0.035,1.01,173211,2024-03-11 04:57:31
1710133171,1872,173211,33.5,93.5,0.8,0.0,1.1,173211,2024-03-11 04:59:31
1710133291,1872,173211,32.5,93.5,0.9,0.0,1.495,173211,2024-03-11 05:01:31
1710133411,1872,173211,33.0,93.5,0.8,0.0,0.76,173211,2024-03-11 05:03:31
1710133531,1872,173211,33.0,93.5,0.8,0.0,1.355,173211,2024-03-11 05:05:31
1710133651,1872,173211,33.0,93.5,0.7,0.015,0.91,173211,2024-03-11 05:07:31
1710133771,1872,173211,33.0,93.5,0.7,0.0,0.615,173211,2024-03-11 05:09:31
1710133891,1872,173211,33.5,93.5,0.9,0.0,0.8500000000000001,173211,2024-03-11 05:11:31
1710134011,1872,173211,33.5,93.5,0.9,0.045,0.835,173211,2024-03-11 05:13:31
1710134131,1872,173211,33.5,93.5,0.8,0.02,1.285,173211,2024-03-11 05:15:31
1710134252,1872,173211,33.5,93.5,0.8,0.0,1.01,173211,2024-03-11 05:17:32
1710134371,1872,173211,33.5,93.5,1.0,0.035,1.3250000000000002,173211,2024-03-11 05:19:31
1710134491,1872,173211,33.5,93.5,0.9,0.0,1.2,173211,2024-03-11 05:21:31
1710134611,1872,173211,33.0,93.5,0.8,0.025,1.41,173211,2024-03-11 05:23:31
1710134731,1872,173211,32.5,94.0,0.9,0.105,1.375,173211,2024-03-11 05:25:31
1710134851,1872,173211,32.5,93.5,1.0,0.085,1.62,173211,2024-03-11 05:27:31
1710134971,1872,173211,32.5,94.0,0.9,0.0,0.955,173211,2024-03-11 05:29:31
1710135091,1872,173211,32.5,93.5,0.8,0.0,1.495,173211,2024-03-11 05:31:31
1710135211,1872,173211,32.5,93.5,1.0,0.035,1.51,173211,2024-03-11 05:33:31
1710135331,1872,173211,32.5,93.5,1.0,0.0,1.42,173211,2024-03-11 05:35:31
1710135451,1872,173211,32.0,93.5,0.7,0.0,0.82,173211,2024-03-11 05:37:31
1710135571,1872,173211,31.5,93.5,0.8,0.045,1.365,173211,2024-03-11 05:39:31
1710135691,1872,173211,31.5,93.5,0.7,0.045,1.01,173211,2024-03-11 05:41:31
1710135811,1872,173211,31.5,93.5,1.0,0.05,1.495,173211,2024-03-11 05:43:31
1710135931,1872,173211,31.5,94.0,0.9,0.045,1.495,173211,2024-03-11 05:45:31
1710136051,1872,173211,31.5,93.5,0.8,0.115,1.35,173211,2024-03-11 05:47:31
1710136171,1872,173211,31.5,93.5,0.8,0.01,1.165,173211,2024-03-11 05:49:31
1710136292,1872,173211,31.5,93.5,0.9,0.0,1.39,173211,2024-03-11 05:51:32
1710136412,1872,173211,31.5,93.5,0.8,0.0,1.455,173211,2024-03-11 05:53:32
1710136532,1872,173211,31.5,93.5,1.0,0.0,1.48,173211,2024-03-11 05:55:32
1710136652,1872,173211,31.5,93.5,0.9,0.0,0.835,173211,2024-03-11 05:57:32
1710136772,1872,173211,32.0,93.5,0.8,0.0,0.835,173211,2024-03-11 05:59:32
1710136892,1872,173211,32.0,93.5,0.9,0.0,1.8,173211,2024-03-11 06:01:32
1710137012,1872,173211,32.5,93.5,0.8,0.0,1.22,173211,2024-03-11 06:03:32
1710137132,1872,173211,32.5,93.5,0.8,0.0,0.94,173211,2024-03-11 06:05:32
1710137252,1872,173211,32.5,93.5,0.9,0.015,1.42,173211,2024-03-11 06:07:32
1710137372,1872,173211,32.5,93.5,1.0,0.045,1.56,173211,2024-03-11 06:09:32
1710137492,1872,173211,32.5,93.5,0.9,0.0,1.04,173211,2024-03-11 06:11:32
1710137612,1872,173211,32.5,93.5,0.9,0.05,1.15,173211,2024-03-11 06:13:32
1710137732,1872,173211,32.5,93.5,0.9,0.025,1.26,173211,2024-03-11 06:15:32
1710137852,1872,173211,32.5,93.5,0.9,0.125,1.16,173211,2024-03-11 06:17:32
1710137972,1872,173211,33.0,93.5,1.0,0.16,1.565,173211,2024-03-11 06:19:32
1710138092,1872,173211,32.5,93.5,0.9,0.01,1.445,173211,2024-03-11 06:21:32
1710138212,1872,173211,33.0,93.5,1.1,0.04,1.905,173211,2024-03-11 06:23:32
1710138332,1872,173211,33.0,93.5,0.9,0.035,1.41,173211,2024-03-11 06:25:32
1710138452,1872,173211,32.5,93.5,0.9,0.055,1.14,173211,2024-03-11 06:27:32
1710138572,1872,173211,33.0,93.5,0.9,0.0,1.01,173211,2024-03-11 06:29:32
1710138692,1872,173211,33.5,93.5,0.9,0.1,1.555,173211,2024-03-11 06:31:32
1710138812,1872,173211,33.0,93.5,1.0,0.015,1.325,173211,2024-03-11 06:33:32
1710138932,1872,173211,33.0,93.5,1.0,0.01,1.095,173211,2024-03-11 06:35:32
1710139052,1872,173211,32.5,93.5,0.8,0.0,0.915,173211,2024-03-11 06:37:32
1710139172,1872,173211,33.0,93.5,0.8,0.045,1.205,173211,2024-03-11 06:39:32
1710139292,1872,173211,33.0,93.5,0.9,0.0,1.305,173211,2024-03-11 06:41:32
1710139412,1872,173211,33.5,93.5,0.9,0.07,1.36,173211,2024-03-11 06:43:32
1710139532,1872,173211,33.5,93.5,1.1,0.0,1.605,173211,2024-03-11 06:45:32
1710139652,1872,173211,33.5,93.5,1.0,0.0,1.35,173211,2024-03-11 06:47:32
1710139772,1872,173211,33.5,93.5,1.0,0.0,1.52,173211,2024-03-11 06:49:32
1710139893,1872,173211,34.0,93.5,0.9,0.01,1.43,173211,2024-03-11 06:51:33
1710140013,1872,173211,34.5,93.5,0.9,0.12,1.65,173211,2024-03-11 06:53:33
1710140133,1872,173211,34.5,93.5,0.9,0.085,0.83,173211,2024-03-11 06:55:33
1710140253,1872,173211,34.5,93.5,1.1,0.065,1.26,173211,2024-03-11 06:57:33
1710140373,1872,173211,34.5,93.5,1.1,0.0,1.6349999999999998,173211,2024-03-11 06:59:33
1710140493,1872,173211,34.5,93.5,1.0,0.16,1.79,173211,2024-03-11 07:01:33
1710140613,1872,173211,35.0,93.5,1.0,0.095,1.275,173211,2024-03-11 07:03:33
1710140733,1872,173211,35.0,93.5,1.1,0.105,1.565,173211,2024-03-11 07:05:33
1710140853,1872,173211,35.0,93.5,1.0,0.0,1.855,173211,2024-03-11 07:07:33
1710140973,1872,173211,35.0,93.5,0.9,0.21,1.4249999999999998,173211,2024-03-11 07:09:33
1710141093,1872,173211,35.0,93.5,1.1,0.185,1.63,173211,2024-03-11 07:11:33
1710141213,1872,173211,35.5,93.5,1.2,0.035,1.655,173211,2024-03-11 07:13:33
1710141333,1872,173211,36.0,93.5,1.2,0.0,1.87,173211,2024-03-11 07:15:33
1710141453,1872,173211,36.0,93.5,1.2,0.05,1.625,173211,2024-03-11 07:17:33
1710141573,1872,173211,36.0,93.5,1.0,0.0,2.11,173211,2024-03-11 07:19:33
1710141693,1872,173211,36.0,93.5,1.1,0.11,1.54,173211,2024-03-11 07:21:33
