UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2024/02/24T01:38:15z,e0:98:6:26:6:5a,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,87,44,62,1012.98,nan,26416,-51,103,3.29,5.38,6.00,3.29,5.38,6.00,22,22,750.29,209.90,29.40,6.00,0.55,0.00,3.07,6.04,7.70,3.07,6.04,7.70,25,25,668.35,198.17,34.59,7.70,1.85,0.54,nan
2024/02/24T01:40:15z,e0:98:6:26:6:5a,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,88,41,61,1012.98,0.01,12216,-54,223,2.79,5.11,6.91,2.79,5.11,6.91,21,21,781.18,220.57,40.84,8.20,2.18,0.43,3.49,5.85,7.46,3.49,5.85,7.46,24,24,720.66,212.12,40.14,6.66,2.34,0.56,91.03
2024/02/24T01:42:15z,e0:98:6:26:6:5a,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,89,40,61,1012.96,0.01,12216,-51,343,2.95,5.22,6.75,2.95,5.22,6.75,22,22,756.90,221.47,42.75,5.55,2.00,0.67,3.57,5.53,6.31,3.57,5.53,6.31,23,23,711.52,216.17,38.40,4.47,0.95,0.52,99.88
2024/02/24T01:44:15z,e0:98:6:26:6:5a,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,90,39,62,1012.94,0.01,12216,-55,463,3.12,5.48,6.29,3.12,5.48,6.29,23,23,783.72,227.17,40.05,5.64,0.81,0.62,3.04,4.39,5.52,3.04,4.39,5.52,18,18,661.61,191.32,28.73,4.29,1.88,0.55,97.28
2024/02/24T01:46:15z,e0:98:6:26:6:5a,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,90,38,61,1012.92,0.01,12216,-51,583,2.84,4.52,5.90,2.84,4.52,5.90,19,19,728.28,212.00,33.86,3.91,1.78,1.10,3.34,5.31,7.80,3.34,5.31,7.80,22,22,711.66,211.19,38.54,6.95,3.42,1.05,93.42
2024/02/24T01:48:15z,e0:98:6:26:6:5a,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,90,38,61,1012.95,0.01,12216,-54,703,3.00,5.38,6.05,3.00,5.38,6.05,22,22,714.64,210.25,35.55,5.57,1.27,0.11,2.97,4.69,5.64,2.97,4.69,5.64,20,20,665.39,195.83,34.66,3.34,1.20,0.54,91.89
2024/02/24T01:50:15z,e0:98:6:26:6:5a,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,91,37,61,1012.94,0.01,12216,-55,823,2.86,5.08,6.42,2.86,5.08,6.42,21,21,730.27,210.20,38.32,7.15,1.66,1.03,3.38,5.21,6.14,3.38,5.21,6.14,22,22,700.97,204.55,39.17,3.62,1.22,0.14,91.59
2024/02/24T01:52:15z,e0:98:6:26:6:5a,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,91,37,61,1012.94,0.01,12216,-53,943,2.85,5.12,6.37,2.85,5.12,6.37,21,21,718.20,208.13,31.25,6.72,1.88,0.78,2.72,3.96,5.23,2.72,3.96,5.23,17,17,596.84,171.33,29.35,3.98,1.33,0.79,91.01
2024/02/24T01:54:15z,e0:98:6:26:6:5a,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,91,36,60,1012.97,0.01,12216,-52,1063,3.33,5.38,6.47,3.33,5.38,6.47,22,22,757.45,218.66,34.84,4.95,1.84,0.36,3.26,4.69,4.97,3.26,4.69,4.97,20,20,662.07,193.83,30.81,1.84,0.24,0.24,89.24
2024/02/24T01:56:15z,e0:98:6:26:6:5a,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,91,36,60,1012.95,0.01,12216,-55,1183,3.00,4.64,6.59,3.00,4.64,6.59,19,19,711.32,206.50,32.32,5.77,2.21,1.68,2.88,4.92,5.69,2.88,4.92,5.69,20,20,664.27,192.78,35.69,4.58,1.32,0.46,88.44
2024/02/24T01:58:15z,e0:98:6:26:6:5a,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,91,36,60,1012.93,0.01,12216,-56,1303,2.68,4.49,6.26,2.68,4.49,6.26,19,19,656.84,190.04,33.89,5.19,2.89,0.65,2.56,4.54,5.71,2.56,4.54,5.71,19,19,597.15,173.46,36.58,4.61,1.71,0.44,89.13
2024/02/24T02:00:15z,e0:98:6:26:6:5a,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,92,36,61,1012.87,0.01,12216,-52,1423,3.15,4.75,5.58,3.15,4.75,5.58,20,20,705.97,206.88,30.49,4.02,1.24,0.47,2.66,4.80,6.04,2.66,4.80,6.04,20,20,677.46,205.04,38.89,5.48,1.59,0.71,87.86
2024/02/24T02:02:15z,e0:98:6:26:6:5a,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,92,35,60,1012.82,0.01,12216,-51,1543,2.76,4.14,5.25,2.76,4.14,5.25,17,17,674.54,196.81,29.31,3.75,1.51,1.05,2.40,3.95,4.96,2.40,3.95,4.96,16,16,613.89,187.19,33.25,3.98,1.47,0.46,87.07
2024/02/24T02:04:15z,e0:98:6:26:6:5a,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,92,35,60,1012.79,0.01,12216,-52,1663,2.95,5.02,5.71,2.95,5.02,5.71,21,21,703.18,206.43,39.00,4.70,1.16,0.27,2.71,4.58,6.31,2.71,4.58,6.31,19,19,672.20,200.54,40.14,5.24,2.32,1.08,86.38
2024/02/24T02:06:15z,e0:98:6:26:6:5a,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,92,34,60,1012.82,0.01,12216,-52,1783,3.00,4.69,5.57,3.00,4.69,5.57,20,20,682.03,198.41,30.05,4.64,1.33,0.43,2.66,4.14,5.03,2.66,4.14,5.03,17,17,649.32,193.12,32.93,2.41,1.27,0.41,86.78
2024/02/24T02:08:15z,e0:98:6:26:6:5a,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,93,34,61,1012.80,0.01,12216,-51,1903,3.32,5.29,7.05,3.32,5.29,7.05,22,22,694.78,205.29,32.76,8.20,2.71,1.02,2.21,3.82,4.88,2.21,3.82,4.88,16,16,609.37,178.21,32.98,4.72,1.63,0.56,87.41
2024/02/24T02:10:15z,e0:98:6:26:6:5a,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,93,34,61,1012.69,0.01,12216,-52,2023,2.80,4.51,5.78,2.80,4.51,5.78,19,19,700.37,199.42,36.64,4.39,1.80,0.76,3.20,4.86,5.32,3.20,4.86,5.32,20,20,690.54,206.21,36.29,2.29,0.91,0.30,88.11
2024/02/24T02:12:15z,e0:98:6:26:6:5a,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,93,34,60,1012.77,0.01,12216,-61,2143,2.42,4.07,4.98,2.42,4.07,4.98,17,17,618.84,176.28,29.35,3.77,1.35,0.35,3.15,4.87,5.83,3.15,4.87,5.83,20,20,637.60,192.27,34.92,3.55,1.45,0.85,92.21
2024/02/24T02:14:15z,e0:98:6:26:6:5a,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,93,34,60,1012.71,0.01,12216,-51,2263,2.73,4.00,5.54,2.73,4.00,5.54,17,17,723.96,203.25,28.79,4.07,2.30,0.59,3.51,5.27,7.29,3.51,5.27,7.29,22,22,719.08,210.20,43.36,3.73,2.81,1.10,91.55
2024/02/24T02:16:15z,e0:98:6:26:6:5a,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,93,34,60,1012.71,0.01,12216,-55,2383,3.22,5.03,6.49,3.22,5.03,6.49,21,21,699.86,201.39,34.05,5.75,2.49,0.41,2.45,3.77,4.71,2.45,3.77,4.71,16,16,564.96,165.71,34.05,3.48,0.95,0.45,91.17
2024/02/24T02:18:15z,e0:98:6:26:6:5a,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,93,33,60,1012.78,0.01,12216,-60,2503,2.59,4.07,4.59,2.59,4.07,4.59,17,17,687.62,191.00,31.91,2.10,0.78,0.22,2.68,4.18,5.55,2.68,4.18,5.55,17,17,609.75,170.89,28.68,5.80,1.86,0.61,90.34
2024/02/24T02:20:15z,e0:98:6:26:6:5a,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,93,33,60,1012.78,0.01,12216,-50,2623,2.24,3.67,5.03,2.24,3.67,5.03,15,15,629.17,180.76,28.24,4.60,1.43,1.16,2.41,4.39,5.97,2.41,4.39,5.97,18,18,626.24,180.24,28.32,5.98,2.53,0.54,90.21
2024/02/24T02:22:15z,e0:98:6:26:6:5a,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,93,33,60,1012.79,0.01,12216,-54,2743,2.55,4.43,6.43,2.55,4.43,6.43,18,18,646.61,187.86,36.71,6.30,2.64,2.27,2.84,4.26,5.50,2.84,4.26,5.50,18,18,612.31,181.03,32.17,4.64,1.64,0.00,89.36
2024/02/24T02:24:15z,e0:98:6:26:6:5a,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,93,34,60,1012.81,0.01,12216,-54,2863,3.48,4.79,6.29,3.48,4.79,6.29,20,20,732.72,213.93,30.83,4.84,2.05,0.59,3.62,5.50,7.53,3.62,5.50,7.53,23,23,776.59,233.17,42.67,5.48,2.31,0.62,86.78
2024/02/24T02:26:15z,e0:98:6:26:6:5a,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,93,33,60,1012.89,0.01,12216,-55,2983,4.75,6.69,7.92,4.75,6.69,7.92,28,28,1046.54,291.42,38.63,5.66,1.41,0.41,4.64,7.30,8.39,4.64,7.30,8.39,30,30,971.68,276.39,43.46,7.38,1.27,0.36,83.66
2024/02/24T02:28:15z,e0:98:6:26:6:5a,7.04,3.0+OPENLOG+31037 MB+RV3028+BME280+BME68X+PMSX003-A+PMSX003-B,93,33,59,1012.85,0.01,12216,-55,3103,4.69,6.74,8.83,4.69,6.74,8.83,28,28,1020.31,293.07,40.57,6.93,2.71,0.79,4.32,5.95,7.37,4.32,5.95,7.37,25,25,900.41,260.03,37.64,4.07,2.46,0.25,80.25
